"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R10,R4,R1,R9,R7,R5,R2,R6,R3,R8,R22";"0402_Res";11;"10K";;;
2;"C7,C9,C22,C21,C4,C17,C8,C3,C18";"0603_Cap";9;"100nF";;;
3;"R19";"0402_Res";1;"49.9K";;;
4;"U4,U8,U5,U9,U6,U10,U7,U2,U3,U1";"TXB0108DQSR";10;"TXB0108DQSR";;;
5;"R16,R18";"0402_Res";2;"100K";;;
6;"J17,J7,J1,J19,J14,J4,J11,J18,J10,J6,J20,J8,J13,J16,J2,J3,J9,J15,J5,J12";"01x06 HEADER";20;".";;;
7;"J25";"12V SMD PAD";1;"SMD PAD";;;
8;"JM2,JM5,JM1,JM3,JM4";"PinHeader_1x03_P2.54mm_Vertical";5;"~";;;
9;"U14";"TPS2117";1;"TPS2117";;;
10;"C5,C19";"0402_Cap";2;"100pF";;;
11;"C44,C39,C31,C32,C33,C42,C27,C38,C24,C25,C37,C43,C28,C29,C41,C40,C26,C23,C30,C36,C34,C35";"0402_Cap";22;"0.1uF";;;
12;"REF**,REF**,REF**,REF**";"HOLE";4;"HOLE";;;
13;"C2,C1,C6,C20,C16";"0603_Cap";5;"1uF";;;
14;"L1,L3";"GCNR4030-3R3NC";2;"3.3 uH";;;
15;"J23";"02X02 HEADER";1;"02x02";;;
16;"R17";"0402_Res";1;"22.2K";;;
17;"U12,U13";"SY8088IAAC";2;"SY8088IAAC";;;
18;"J24";"USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal";1;"USB_C_Receptacle_PowerOnly_6P";;;
19;"R20";"0402_Res";1;"20K";;;
20;"J22,J21";"LVDS";2;"LVDS";;;
21;"R21";"0402_Res";1;"4.99K";;;
